Level,AdventurerType,MaxCount
1,Brawler,17538
1,Brawler,17978
1,Brawler,18268
1,Brawler,20079
1,Brawler,20880
1,Brawler,23808
1,Brawler,23808
1,Brawler,24285
1,Brawler,31156
1,Brawler,33195
2,Brawler,38895
1,Brawler,40030
2,Brawler,53230
2,Brawler,60253
2,Brawler,65147
2,Brawler,65634
2,Brawler,65785
2,Brawler,67068
2,Brawler,67830
0,Brawler,0
3,Brawler,0
2,Brawler,76533
2,Brawler,87828
2,Brawler,96776
1,Brawler,26486
0,Brawler,0
3,Brawler,0
0,Brawler,0
3,Brawler,0
0,Brawler,0
3,Brawler,0
0,Brawler,0
3,Brawler,0
0,Brawler,0
3,Brawler,0

