Level,AdventurerType,MaxCount
1,Mage,1047
1,Mage,2421
2,Mage,4761
1,Mage,4761
2,Mage,9582
1,Mage,9582
1,Mage,12314
1,Mage,12378
2,Mage,13874
1,Mage,13874
1,Mage,14215
3,Mage,14972
1,Mage,15548
2,Mage,19863
2,Mage,20048
2,Mage,21762
3,Mage,22181
4,Mage,26814
2,Mage,27576
1,Mage,29136
3,Mage,29438
2,Mage,32346
3,Mage,34003
2,Mage,34697
3,Mage,36526
4,Mage,37148
3,Mage,38597
2,Mage,39390
3,Mage,42255
3,Mage,46185
4,Mage,49177
3,Mage,51452
3,Mage,59778
4,Mage,61420
4,Mage,70537
4,Mage,72693
4,Mage,72862
4,Mage,73056
5,Mage,75654
0,Mage,0
4,Mage,76508
4,Mage,80176
1,Mage,5459
2,Mage,1824
3,Mage,7144
5,Mage,11982
0,Mage,0
5,Mage,13945
0,Mage,0
5,Mage,15614
0,Mage,0
5,Mage,17416
0,Mage,0
1,Mage,3059
1,Mage,1257
2,Mage,3822
1,Mage,5753
3,Mage,6109
1,Mage,9741
2,Mage,8304
2,Mage,6158
2,Mage,15069
5,Mage,27051
0,Mage,0
5,Mage,28016
0,Mage,0
3,Mage,14623
4,Mage,29185
2,Mage,3981
5,Mage,35498
0,Mage,0
3,Mage,9981
2,Mage,9700
3,Mage,20300
3,Mage,26389

