Level,AdventurerType,MaxCount
1,Swordsman,494
2,Swordsman,1220
2,Swordsman,1220
1,Swordsman,1453
1,Swordsman,2421
2,Swordsman,4259
1,Swordsman,6915
1,Swordsman,9918
1,Swordsman,11785
2,Swordsman,12314
1,Swordsman,13652
2,Swordsman,13652
2,Swordsman,14215
3,Swordsman,14560
3,Swordsman,14972
2,Swordsman,15112
3,Swordsman,20417
2,Swordsman,21430
2,Swordsman,21430
3,Swordsman,22201
3,Swordsman,25807
3,Swordsman,28365
2,Swordsman,28681
3,Swordsman,28831
4,Swordsman,29660
4,Swordsman,34003
3,Swordsman,35099
3,Swordsman,37490
4,Swordsman,37490
4,Swordsman,41312
3,Swordsman,42255
4,Swordsman,48011
4,Swordsman,49147
4,Swordsman,50170
4,Swordsman,64643
3,Swordsman,66534
4,Swordsman,68249
4,Swordsman,77007
4,Swordsman,2705
5,Swordsman,7502
0,Swordsman,0
2,Swordsman,5763
3,Swordsman,13000
5,Swordsman,22249
0,Swordsman,0
5,Swordsman,22623
0,Swordsman,0
5,Swordsman,24071
0,Swordsman,0
5,Swordsman,24443
0,Swordsman,0
1,Swordsman,2252
2,Swordsman,480
5,Swordsman,28730
0,Swordsman,0
2,Swordsman,6785
5,Swordsman,29792
0,Swordsman,0
4,Swordsman,23530
5,Swordsman,31056
0,Swordsman,0
1,Swordsman,9840
2,Swordsman,2015
5,Swordsman,33928
0,Swordsman,0
1,Swordsman,4520
3,Swordsman,13281
2,Swordsman,15286
3,Swordsman,13161
2,Swordsman,10027
2,Swordsman,14770

