BattleEnvironment,Level,AdventurerType,AverageStepCount,ID
Mountain,0,Mage,355,1
Mountain,0,Brawler,355,1
Forest,0,Brawler,400,2
Forest,0,Swordsman,400,2
Sea,0,Swordsman,577,3
Sea,0,Swordsman,577,3
Volcano,0,Mage,607,4
Volcano,0,Brawler,607,4
Forest,0,Brawler,802,5
Forest,0,Swordsman,802,5
Volcano,0,Swordsman,992,6
Volcano,0,Swordsman,992,6
Sea,0,Brawler,1162,7
Sea,1,Brawler,1162,7
Mountain,0,Swordsman,1171,8
Mountain,0,Swordsman,1171,8
Forest,0,Swordsman,1230,9
Forest,0,Swordsman,1230,9
Mountain,1,Mage,1670,10
Mountain,2,Swordsman,1670,10
Volcano,0,Swordsman,1680,11
Volcano,0,Swordsman,1680,11
Volcano,0,Swordsman,1985,12
Volcano,0,Mage,1985,12
Forest,0,Swordsman,2300,13
Forest,0,Mage,2300,13
Sea,2,Swordsman,2381,14
Sea,0,Swordsman,2381,14
Volcano,0,Brawler,2532,15
Volcano,0,Mage,2532,15
Forest,0,Swordsman,2807,16
Forest,0,Mage,2807,16
Volcano,0,Swordsman,2912,17
Volcano,2,Swordsman,2912,17
Mountain,0,Brawler,2945,18
Mountain,1,Brawler,2945,18
Forest,0,Brawler,3265,19
Forest,0,Mage,3265,19
Sea,0,Brawler,3337,20
Sea,0,Brawler,3337,20
Volcano,1,Brawler,3462,21
Volcano,1,Mage,3462,21
Mountain,0,Mage,3748,22
Mountain,2,Swordsman,3748,22
Forest,1,Mage,3885,23
Forest,0,Mage,3885,23
Volcano,0,Mage,3950,24
Volcano,1,Swordsman,3950,24
Mountain,0,Swordsman,4111,25
Mountain,2,Swordsman,4111,25
Sea,0,Mage,4465,26
Sea,0,Mage,4465,26
Forest,0,Brawler,5032,27
Forest,1,Brawler,5032,27
Volcano,0,Swordsman,5208,28
Volcano,2,Swordsman,5208,28
Mountain,0,Mage,5555,29
Mountain,0,Brawler,5555,29
Sea,1,Brawler,5942,30
Sea,0,Mage,5942,30
Forest,2,Mage,5992,31
Forest,0,Brawler,5992,31
Mountain,0,Swordsman,6202,32
Mountain,1,Brawler,6202,32
Sea,1,Mage,6225,33
Sea,2,Swordsman,6225,33
Forest,0,Swordsman,6392,34
Forest,1,Brawler,6392,34
Volcano,1,Swordsman,6502,35
Volcano,0,Brawler,6502,35
Sea,0,Brawler,6795,36
Sea,1,Swordsman,6795,36
Mountain,0,Mage,6797,37
Mountain,0,Mage,6797,37
Forest,2,Swordsman,6935,38
Forest,0,Mage,6935,38
Mountain,2,Mage,7180,39
Mountain,1,Mage,7180,39
Sea,0,Mage,7455,40
Sea,0,Brawler,7455,40
Volcano,0,Brawler,7505,41
Volcano,1,Swordsman,7505,41
Volcano,1,Swordsman,8092,42
Volcano,0,Brawler,8092,42
Mountain,1,Brawler,8197,43
Mountain,2,Swordsman,8197,43
Sea,0,Swordsman,8287,44
Sea,1,Brawler,8287,44
Forest,1,Mage,8385,45
Forest,0,Mage,8385,45
Mountain,1,Swordsman,8715,46
Mountain,0,Brawler,8715,46
Volcano,0,Swordsman,8780,47
Volcano,2,Swordsman,8780,47
Sea,0,Brawler,8865,48
Sea,0,Mage,8865,48
Forest,2,Swordsman,8937,49
Forest,0,Brawler,8937,49
Sea,0,Brawler,9282,50
Sea,1,Swordsman,9282,50
Mountain,1,Brawler,9353,51
Mountain,0,Mage,9353,51
Volcano,2,Mage,9610,52
Volcano,0,Swordsman,9610,52
Forest,2,Brawler,9622,53
Forest,0,Swordsman,9622,53
Forest,2,Mage,10035,54
Forest,1,Brawler,10035,54
Mountain,0,Mage,10327,55
Mountain,2,Swordsman,10327,55
Forest,2,Brawler,10360,56
Forest,2,Mage,10360,56
Sea,2,Swordsman,10385,57
Sea,0,Mage,10385,57
Volcano,0,Brawler,10472,58
Volcano,0,Swordsman,10472,58
Sea,0,Swordsman,10770,59
Sea,1,Swordsman,10770,59
Sea,1,Mage,11205,60
Sea,2,Mage,11205,60
Mountain,0,Mage,11482,61
Mountain,1,Swordsman,11482,61
Forest,0,Brawler,11612,62
Forest,0,Swordsman,11612,62
Sea,0,Swordsman,11622,63
Sea,1,Brawler,11622,63
Volcano,0,Brawler,11765,64
Volcano,0,Brawler,11765,64
Forest,0,Brawler,12005,65
Forest,0,Mage,12005,65
Sea,0,Mage,12052,66
Sea,0,Mage,12052,66
Sea,2,Mage,12572,67
Sea,0,Brawler,12572,67
Mountain,2,Swordsman,12851,68
Mountain,1,Swordsman,12851,68
Volcano,1,Swordsman,13010,69
Volcano,1,Swordsman,13010,69
Mountain,1,Mage,13212,70
Mountain,0,Mage,13212,70
Forest,0,Swordsman,13290,71
Forest,1,Swordsman,13290,71
Sea,0,Brawler,13590,72
Sea,2,Mage,13590,72
Forest,1,Swordsman,13815,73
Forest,0,Mage,13815,73
Volcano,1,Brawler,13852,74
Volcano,0,Brawler,13852,74
Sea,2,Swordsman,14180,75
Sea,1,Swordsman,14180,75
Mountain,2,Swordsman,14377,76
Mountain,0,Brawler,14377,76
Volcano,2,Swordsman,14420,77
Volcano,2,Mage,14420,77
Sea,1,Brawler,14547,78
Sea,2,Swordsman,14547,78
Mountain,2,Mage,14780,79
Mountain,1,Swordsman,14780,79
Forest,0,Swordsman,14897,80
Forest,2,Swordsman,14897,80
Volcano,1,Brawler,15082,81
Volcano,1,Brawler,15082,81
Mountain,1,Brawler,15100,82
Mountain,2,Swordsman,15100,82
Sea,0,Brawler,15195,83
Sea,1,Mage,15195,83
Forest,0,Mage,15367,84
Forest,1,Brawler,15367,84
Mountain,1,Swordsman,15511,85
Mountain,0,Swordsman,15511,85
Volcano,3,Swordsman,15753,86
Volcano,2,Swordsman,15753,86
Sea,1,Mage,15895,87
Sea,1,Mage,15895,87
Mountain,1,Brawler,16012,88
Mountain,1,Brawler,16012,88
Volcano,1,Brawler,16090,89
Volcano,1,Swordsman,16090,89
Volcano,1,Swordsman,16440,90
Volcano,0,Swordsman,16440,90
Sea,1,Mage,16567,91
Sea,1,Mage,16567,91
Mountain,1,Brawler,16647,92
Mountain,2,Swordsman,16647,92
Volcano,2,Swordsman,16780,93
Volcano,3,Brawler,16780,93
Sea,1,Swordsman,16885,94
Sea,0,Mage,16885,94
Mountain,2,Brawler,17350,95
Mountain,1,Brawler,17350,95
Sea,0,Swordsman,17420,96
Sea,2,Swordsman,17420,96
Forest,1,Mage,17462,97
Forest,1,Brawler,17462,97
Volcano,2,Mage,17832,98
Volcano,2,Swordsman,17832,98
Sea,2,Mage,18102,99
Sea,1,Swordsman,18102,99
Volcano,1,Mage,18297,100
Volcano,3,Brawler,18297,100
Volcano,1,Mage,18695,101
Volcano,0,Brawler,18695,101
Sea,1,Swordsman,19100,102
Sea,2,Swordsman,19100,102
Volcano,1,Mage,19147,103
Volcano,1,Mage,19147,103
Mountain,1,Brawler,19242,104
Mountain,1,Mage,19242,104
Sea,3,Brawler,19457,105
Sea,1,Mage,19457,105
Forest,2,Swordsman,19502,106
Forest,1,Brawler,19502,106
Sea,2,Swordsman,19842,107
Sea,1,Swordsman,19842,107
Volcano,2,Brawler,19917,108
Volcano,2,Mage,19917,108
Mountain,2,Swordsman,19975,109
Mountain,1,Brawler,19975,109
Volcano,1,Mage,20337,110
Volcano,0,Swordsman,20337,110
Forest,0,Brawler,20432,111
Forest,0,Brawler,20432,111
Sea,2,Mage,20457,112
Sea,1,Mage,20457,112
Forest,3,Swordsman,20780,113
Forest,2,Swordsman,20780,113
Mountain,3,Swordsman,20790,114
Mountain,2,Mage,20790,114
Volcano,2,Brawler,20900,115
Volcano,2,Swordsman,20900,115
Sea,1,Mage,21030,116
Sea,1,Mage,21030,116
Forest,1,Brawler,21097,117
Forest,1,Brawler,21097,117
Mountain,1,Swordsman,21207,118
Mountain,0,Swordsman,21207,118
Volcano,1,Brawler,21242,119
Volcano,1,Mage,21242,119
Sea,2,Mage,21427,120
Sea,2,Brawler,21427,120
Mountain,1,Mage,21570,121
Mountain,1,Brawler,21570,121
Volcano,2,Brawler,21645,122
Volcano,1,Mage,21645,122
Mountain,2,Mage,22000,123
Mountain,2,Brawler,22000,123
Sea,2,Swordsman,22072,124
Sea,2,Mage,22072,124
Forest,2,Swordsman,22137,125
Forest,2,Swordsman,22137,125
Volcano,0,Mage,22285,126
Volcano,2,Swordsman,22285,126
Sea,3,Brawler,22354,127
Sea,2,Swordsman,22354,127
Mountain,3,Mage,22500,128
Mountain,3,Swordsman,22500,128
Volcano,2,Swordsman,22602,129
Volcano,2,Brawler,22602,129
Sea,3,Swordsman,22675,130
Sea,1,Mage,22675,130
Sea,2,Brawler,22960,131
Sea,2,Swordsman,22960,131
Mountain,3,Brawler,22972,132
Mountain,1,Brawler,22972,132
Volcano,2,Brawler,23025,133
Volcano,2,Mage,23025,133
Forest,2,Mage,23362,134
Forest,3,Swordsman,23362,134
Volcano,2,Mage,23637,135
Volcano,2,Brawler,23637,135
Volcano,1,Mage,23987,136
Volcano,2,Swordsman,23987,136
Sea,0,Mage,24315,137
Sea,2,Brawler,24315,137
Volcano,1,Swordsman,24357,138
Volcano,2,Brawler,24357,138
Forest,3,Brawler,24362,139
Forest,2,Mage,24362,139
Mountain,2,Mage,24550,140
Mountain,3,Mage,24550,140
Sea,2,Swordsman,24687,141
Sea,3,Swordsman,24687,141
Mountain,3,Swordsman,24937,142
Mountain,2,Brawler,24937,142
Volcano,3,Mage,24987,143
Volcano,2,Mage,24987,143
Forest,2,Mage,25237,144
Forest,2,Swordsman,25237,144
Mountain,1,Brawler,25512,145
Mountain,3,Brawler,25512,145
Forest,2,Swordsman,25610,146
Forest,2,Brawler,25610,146
Forest,2,Mage,25845,147
Forest,2,Swordsman,25845,147
Sea,2,Brawler,25972,148
Sea,3,Mage,25972,148
Mountain,3,Swordsman,26280,149
Mountain,3,Swordsman,26280,149
Forest,3,Swordsman,26364,150
Forest,3,Brawler,26364,150
Sea,2,Brawler,26435,151
Sea,1,Mage,26435,151
Mountain,2,Swordsman,26777,152
Mountain,1,Swordsman,26777,152
